model_id|gender|race|age|clothing|profession|character traits and behavior|speaker_id
25|Male|Black|Young|Black varsity jacket with white sleeves and silver buttons, dark wash denim jeans, and white Adidas sneakers. The overall appearance suggests a late 90s street style influenced by hip-hop culture.|Madd Dogg Bodyguard|Calm, observant, and possesses a subtle air of guardedness. This individual likely operates in the shadows, maintaining a low profile and prioritizing security. Note: This character’s role is to protect a high-profile individual, likely within the criminal underworld of Los Santos.|1
26|Male|White|Young|A black crew-neck t-shirt, khaki shorts, grey socks, and worn-out athletic sneakers. A dark green backpack is slung over his shoulders.|Backpacker|Quiet, observant, and appears somewhat weathered, suggesting extended periods outdoors. He carries himself with a cautious demeanor, possibly due to a past experience or a desire for solitude. Note: This character likely spends his time traveling and exploring the wilderness, possibly avoiding populated areas.|3
27|Male|White|Young|Light grey crew-neck t-shirt, dark blue denim jeans, brown work boots, and heavy-duty brown leather work gloves. A simple black utility belt secures tools.|Construction Worker|The individual displays a quiet, focused demeanor, exhibiting signs of physical labor and a practical, no-nonsense attitude. He appears reliable and accustomed to working outdoors in challenging conditions. Note: This character’s role is ‘Construction Worker’.|14
28|Male|Black|Young|Black tank top, dark wash denim jeans, and worn-out white canvas sneakers. A plain black belt and a simple silver buckle complete the outfit.|Drug Dealer|Aggressive demeanor, displays a casual disregard for authority, and exhibits a tendency towards intimidation. This individual likely operates within the city’s underground drug trade, prioritizing profit and survival. Note: This character’s role is ‘Drug Dealer’.|10
29|Male|White|Young|A grey hooded sweatshirt with a black “Rockstar” print, dark blue denim jeans, and light beige sneakers. The jeans are a classic 1992 fit, slightly baggy at the ankle.|Drug Dealer|Appears nonchalant and observant, exhibiting a cautious demeanor.  He projects an air of quiet confidence, suggesting a familiarity with the city’s underbelly. Note: This character’s role is ‘Drug Dealer’.|13
30|Male|Hispanic|Young|He wears a dark grey ribbed tank top, black baggy cargo pants, and worn-out white canvas sneakers. A plain leather belt and a silver chain hang loosely around his neck.|Drug Dealer|This individual displays a guarded demeanor, exhibiting a cautious and potentially hostile attitude. He appears to be involved in illicit activities, likely dealing narcotics within the city’s underbelly. Note: This character’s role is ‘Drug Dealer’.|6
31|Female|White|Old|A plain white t-shirt, faded blue denim jeans, and worn brown leather cowboy boots. The outfit reflects a practical, rural style common in the early 1990s.|Farm-Town inhabitant|Appears reserved and observant, with a weathered demeanor suggesting a life spent outdoors. This individual likely possesses a quiet strength and a familiarity with the rhythms of rural life. Note: This character’s role is ‘Farm-Town inhabitant’.|12
32|Male|White|Old|Worn, dark-grey denim work shirt with a button-down collar, paired with light brown, faded denim jeans and tan work boots. A simple brown leather belt secures the trousers.|Farm-Town inhabitant|Quiet and observant, exhibiting a cautious demeanor and a preference for solitary activities. This individual appears to be a simple, hardworking man of few words. Note: This character’s role is ‘Farm-Town inhabitant’.|17
33|Male|White|Old|Black overcoat, dark trousers, and black leather boots, reflecting a 1990s Los Angeles style. A red bandana is tied around his neck, adding a touch of ruggedness.|Farm-Town inhabitant|Quiet, observant, and carries an air of melancholy, suggesting a life spent in relative isolation. This individual appears to be a former rancher or farmhand, possibly disillusioned with the city. Note:  He possesses a wary demeanor, indicative of someone accustomed to solitude and distrustful of outsiders.|8
34|Male|White|Young|Wears a dark green flannel shirt over a grey crew-neck t-shirt, paired with black denim jeans and worn brown leather cowboy boots. A simple brown leather belt secures the outfit.|Farm-Town inhabitant|Appears weathered and stoic, exhibiting a quiet demeanor with a hint of wary observation. This individual likely spends his time working on a rural property and avoiding unnecessary interaction. Note: This character’s role is ‘Farm-Town inhabitant’.|9
35|Male|Hispanic|Old|A faded red short-sleeved button-down shirt, khaki shorts, and brown leather work boots. A simple black leather belt secures the outfit.|Gardener|Quiet and observant, with a practical demeanor suggesting a preference for routine tasks and a low-key lifestyle. This individual appears to be a dependable, if unremarkable, resident of the neighborhood. Note: This character’s role is 'Gardener'.|6
36|Male|White|Young|A light beige polo shirt, dark blue denim shorts, and tan suede sneakers with white socks. A simple brown leather belt completes the outfit, reflecting a relaxed, casual style popular in 1992 Los Angeles.|Golfer|Calm, polite, and appears to enjoy leisure activities. This individual likely spends his time on the golf course, maintaining a quiet and unassuming demeanor. Note: This character’s role is ‘Golfer’.|9
37|Male|White|Young|Light green polo shirt with short sleeves, khaki shorts, white socks, and black and white sneakers. The outfit reflects a 1992 Californian golfing style.|Golfer|Appears calm and reserved, exhibiting typical leisure activities. He displays a polite demeanor and a quiet interest in his sport. Note: This character is likely a suburban resident engaged in recreational activities, possibly a weekend golfer.|8
38|Male|Hispanic|Old|Light grey short-sleeved t-shirt with a white block, dark khaki shorts, white athletic socks, and tan boat shoes. The outfit reflects a casual, practical style common in the early 1990s.|Unemployed, possibly a former construction worker or manual laborer.|Appears quiet and unassuming, exhibiting a slightly weathered appearance indicative of outdoor work. He carries himself with a gentle demeanor, suggesting a history of simple, routine tasks.|10
39|Female|Hispanic|Old|Dark grey wool skirt, black tights, dark brown leather boots, a white button-down shirt, and a dark brown tweed jacket. The overall style suggests a 1990s aesthetic, prioritizing practicality and a slightly conservative appearance.|Unspecified, likely a clerical worker or someone in a supporting role within a local business.|Appears reserved and observant, exhibiting a cautious demeanor. This individual likely avoids direct interaction and maintains a low profile, suggesting a possible history of quiet observation or perhaps a reluctance to draw attention.|16
40|Female|Hispanic|Young|A fitted, deep red, short strapless mini-dress with black heels and a delicate gold wristwatch. The style reflects 1992 Los Angeles nightlife trends.|Disoriented Socialite|Appears affluent and slightly out of place, exhibiting a detached, observant demeanor. She likely frequents upscale clubs and is possibly involved in low-level dealings within the city’s entertainment scene.|16
41|Female|Hispanic|Young|Light grey, relaxed-fit zip-up tracksuit with matching wide-leg trousers and cream-colored slip-on sneakers. The overall style reflects early 90s streetwear trends popular in Los Angeles.|Unemployed, likely a recent graduate or someone transitioning between jobs.|Appears calm and unassuming, exhibiting a quiet demeanor with minimal visible signs of stress or urgency.  This individual likely spends their time observing the city and its inhabitants.|15
42|Male|Hispanic|Old|Dark grey, worn denim work pants and a faded white crew-neck t-shirt. He wears light beige canvas sneakers.|Jethro|Jethro exhibits a cautious, observant demeanor, displaying a quiet intensity and a slight distrust of strangers. He appears to be a local resident, familiar with the mechanics of the neighborhood. Note: Jethro is a reliable, if somewhat taciturn, individual involved in minor auto repair work.|8
43|Male|White|Young|Dark purple short-sleeved polo shirt, black fitted trousers, brown leather loafers, and a black leather belt with a silver buckle. The appearance suggests a man attempting a sophisticated, albeit dated, style popular in the early 1990s.|Private Investigator|The individual possesses an air of quiet observation and a subtle weariness, potentially indicating a background in surveillance or discreet investigations. He appears to be a man accustomed to dealing with sensitive matters and maintaining a detached demeanor.|10
44|Male|Hispanic|Old|Dark blue flannel shirt over a plain white t-shirt, dark brown straight-leg jeans, and black sneakers. The character has visible tribal-style tattoos on his arms.|Unemployed, likely a former mechanic or laborer.|Appears withdrawn and observant, with a slight air of weariness. He exhibits a cautious demeanor, suggesting a history of involvement in illicit activities or a past trauma.|0
45|Male|Hispanic|Young|Bright green swim trunks with a yellow trim, no additional garments.|Beach Visitor|Muscular build, relaxed posture, exhibiting signs of casual leisure. This individual appears to be a low-level tourist, likely spending his time observing the local environment. Note: This character’s role is 'Beach Visitor'.|0
46|Male|Hispanic|Young|White button-down shirt, faded blue denim jeans, and brown leather belt with a simple buckle. Dark brown leather work boots complete the outfit.|Construction Worker/Day Laborer|This individual presents a casual, working-class appearance, suggesting a background in manual labor and a pragmatic, no-nonsense demeanor.|6
47|Male|Hispanic|Young|Wears a dark brown plaid flannel shirt over a plain white crew-neck t-shirt, paired with khaki-colored baggy pants and worn-out black and white high-top sneakers. A silver chain hangs loosely around his neck.|Likely a street hustler or small-time dealer.|Displays a cautious and observant demeanor, suggesting a history of navigating dangerous situations and a tendency to avoid direct eye contact.|7
48|Male|Hispanic|Young|Light blue, vertically striped polo shirt with a white collar and cuffs, paired with loose-fitting, dark grey pleated trousers and white canvas sneakers.|Street Vendor/Small-Time Dealer|Appears to be a low-level hustler, likely involved in selling small quantities of narcotics or providing minor services within the neighborhood. He displays a cautious and observant demeanor, suggesting a familiarity with street dynamics and potential threats.|3
49|Male|Asian|Old|The individual wears a traditional red and black dragon embroidered silk cheongsam jacket over a dark grey, long-sleeved shirt. Black baggy trousers with a red patterned trim complete the outfit, paired with dark brown leather slippers.|Snakehead (Da Nang)|This character exhibits a calm, observant demeanor with a subtle air of authority and experience. He appears to be a key figure in organized crime, likely involved in smuggling and illicit trade. Note: This character’s role is ‘Snakehead (Da Nang)’.|13
50|Male|White|Young|Grey mechanic jumpsuit with rolled-up sleeves, a white undershirt, and a red handkerchief tucked into his belt. The overall appearance reflects a practical, working-class style common in 1992 Los Angeles.|Mechanic|Quiet and observant, with a slightly weathered appearance suggesting experience and a pragmatic attitude. He carries himself with a deliberate, almost cautious manner. Note: This character likely operates a small, independent garage in a less affluent area of Los Angeles, offering repair services to locals.|7
51|Male|Black|Young|A faded orange athletic tank top, black baggy shorts, and worn black sneakers. The socks are white and slightly rolled up.|Mountain Biker|Physically fit, appears nonchalant, and possesses a quiet demeanor.  He exhibits a relaxed attitude and a preference for outdoor activities, suggesting a lifestyle centered around cycling and potentially a rebellious streak. Note: This character’s role is ‘Mountain Biker’.|0
52|Male|White|Young|Beige short-sleeved shirt with red vertical stripes, black athletic shorts, and dark brown running shoes. The overall style reflects early 90s athletic wear.|Mountain Biker|Quiet, observant, and appears somewhat weathered, suggesting a life spent outdoors. He displays a cautious demeanor, likely accustomed to navigating rough terrain and avoiding attention. Note: This character’s role is ‘Mountain Biker’.|0
53|Female|White|Old|The individual wears a worn, olive-drab camouflage short-sleeved shirt over a pair of dark navy blue shorts.  Light tan sandals and white socks complete the outfit.|Unknown|The subject displays a neutral demeanor, exhibiting a quiet and observant posture.  There is an air of cautiousness about him, suggesting a possible background involving surveillance or observation. Note: This character's role is 'Unknown'.|16
54|Female|Asian|Old|A dark brown, long-sleeved button-down shirt worn under a grey blazer, paired with a burgundy pleated skirt and brown loafers. The overall appearance suggests a 1990s business casual style.|Unspecified, potentially a clerical worker or low-level office staff.|Appears reserved and observant, exhibiting a cautious demeanor. Likely quiet and avoids drawing attention to herself.|15
55|Female|Asian|Young|A fitted, dark brown, ribbed mini-dress with a thin black strap detail and high-heeled black pumps. A delicate gold chain adorns her neck.|Discretionary Services (Potential contact for information or illicit goods)|Appears confident and observant, exhibiting a cautious demeanor. Likely involved in the city’s nightlife and potentially connected to organized crime.|11
56|Female|Asian|Young|Olive green spaghetti-strap tank top, black mini-skirt, and striped pink and beige wool socks pulled up to the knee. A simple silver bracelet adorns her left wrist.|Unspecified, likely a student or part-time worker.|Appears nonchalant and slightly detached, exhibiting a casual attitude typical of youth in 1992 Los Angeles. She displays a quiet observation and a subtle air of vulnerability.|15
57|Male|Asian|Old|The character wears a dark grey, double-breasted suit with a light blue dress shirt and a white tie. Black leather Oxford shoes complete the formal attire, reflecting the style of the early 1990s.|Oriental Ped|Reserved, meticulous, and possessing an air of quiet authority, he appears focused on maintaining order and protocol. He exhibits a cautious demeanor and a preference for direct, concise communication. Note: This character’s role is likely a consular official or a representative of a foreign embassy, stationed in Los Santos during the early 1990s.|9
58|Male|Asian|Old|A dark green, checked flannel shirt over a grey t-shirt, paired with dark blue denim jeans and brown leather loafers.|Oriental Ped|Quiet, observant, and appears to be a low-level employee, possibly a shop assistant or delivery driver.  He maintains a neutral expression, suggesting a cautious and unassuming personality. Note:  This character’s role is ‘Oriental Ped’.|10
59|Male|Asian|Young|Brown striped long-sleeved shirt, black trousers, and dark brown leather shoes. The outfit suggests a business casual style common in the early 1990s.|Unspecified, potentially a clerk, accountant, or low-level office worker.|Appears reserved and observant, with a demeanor indicative of someone accustomed to quiet, routine environments.  His attire and posture suggest a cautious and possibly somewhat disillusioned individual.|13
60|Male|Asian|Young|Dark brown long-sleeved crewneck sweater, dark wash straight-leg jeans, and tan suede loafers. The overall appearance suggests a casual, understated style typical of the early 1990s.|Unemployed, likely a resident of a lower-income neighborhood.|Appears calm and observant, possibly a street-smart individual with a quiet demeanor.|17
61|Male|White|Young|The individual wears a sharply tailored, dark navy blue flight suit with gold-trimmed epaulettes and brass buttons, complemented by black leather Oxford shoes. A white shirt and black tie complete the formal pilot attire, consistent with 1992 aviation standards.|Pilot|Reserved and meticulous, exhibiting a calm demeanor and a strong adherence to protocol. This pilot appears focused and disciplined, suggesting a history of demanding operational environments. Note: This character’s role is ‘Pilot’.|14
62|Male|White|Old|Grey striped pajamas with a button-down shirt and matching slippers. The style aligns with 1992 Los Angeles, featuring a classic, slightly worn appearance.|Colonel Fuhrberger|Quiet, meticulous, and exhibiting a noticeable air of formality. He displays a preference for order and routine, with a tendency towards observation and a measured, deliberate manner. Note: This character is likely a retired military officer, possibly a former intelligence analyst, now residing in a quiet, affluent neighborhood, maintaining a nostalgic and somewhat detached perspective on contemporary life.|8
63|Female|Black|Young|Black thigh-high stockings, a nude-colored bralette, and high-heeled leather boots complete her appearance. The outfit reflects a classic 1992 Los Angeles style, prioritizing a provocative and alluring aesthetic.|Prostitute|Appears cautious and observant, exhibiting a guarded demeanor typical of individuals operating in the city’s underbelly.  She displays a calculated coolness, suggesting a practiced ability to handle potentially dangerous situations. Note: This character’s role is ‘Prostitute’.|12
64|Female|Hispanic|Young|She wears a dark grey, tied-up crop top, a brown mini skirt, and black leather knee-high boots. A simple black leather belt with a silver buckle completes the outfit.|Prostitute|Confident, observant, and possesses a guarded demeanor. She appears to be accustomed to dealing with unsavory characters and maintaining a detached attitude. Note: This character’s role is ‘Prostitute’.|4
65|Female|Black|Young|Black Starter jersey over a grey t-shirt, dark blue baggy jeans, and white Adidas sneakers. The outfit reflects a typical 1992 Los Angeles streetwear style.|Kendl Johnson|Appears to be a young, relaxed individual with a casual demeanor, possibly involved in low-level street activity.  He exhibits a quiet, observant attitude, suggesting a potential for cautiousness or a hidden agenda. Note: Kendl Johnson is a young associate of the Grove Street Families, primarily involved in petty theft and drug distribution within the district.|16
66|Male|Black|Young|Dark blue letterman jacket over a white t-shirt, black denim jeans, and white canvas sneakers. The jacket features gold-colored lettering and buttons, typical of a 1990s high school style.|Pool Player|Quiet and observant, with a slightly melancholic demeanor suggesting a past struggle. This individual appears to be a local fixture at the pool hall, possibly seeking solace or a quiet corner. Note: This character’s role is ‘Pool Player’.|10
67|Male|Black|Young|Grey crewneck sweatshirt, faded blue denim jeans, and grey canvas sneakers. The overall style reflects early 90s streetwear, prioritizing comfort and a relaxed fit.|Pool Player|Quiet and observant, exhibiting a low-key demeanor. This individual appears to be a local pool player, likely spending his time at the local hall. Note:  This character’s presence suggests a connection to the city’s undercurrent of leisure activities and potential hidden talents.|17
68|Male|White|Old|The individual wears a dark, traditional black clerical suit with a white dress shirt and black leather shoes. The suit appears to be a classic 1990s style, reflecting the era of the game.|Priest/Preacher|Quiet, reserved, and observant, exhibiting a demeanor of solemnity and piety. This character likely engages in community outreach and religious counseling. Note: This character’s role is ‘Priest/Preacher’.|8
69|Female|Black|Young|Dark wash denim jumpsuit with a simple V-neck and worn white sneakers. The jumpsuit appears slightly faded, indicative of frequent wear and a practical, unpretentious style common in 1992 Los Angeles.|Unemployed.|Appears cautious and observant, with a subdued demeanor suggesting a history of navigating difficult situations. This individual likely operates on the fringes of the city’s criminal underworld, prioritizing survival and discretion.|5
70|Male|White|Old|The individual wears a light beige, double-breasted lab coat over a pale blue button-down shirt, paired with dark grey wool trousers and black leather Oxford shoes. A dark red tie completes the professional appearance.|Scientist|He exhibits a meticulous and focused demeanor, suggesting a dedication to research and analysis. The character appears reserved and intellectual, possibly prone to lengthy explanations and detailed observations. Note: This character’s role is ‘Scientist’.|3
71|Male|White|Young|A faded teal short-sleeved police-style shirt with the “LAPD” patch on the upper left chest, dark blue trousers, and a black leather utility belt with a holster and a wristwatch.  Dark, worn-looking work boots complete the outfit.|Security Guard|Reserved and observant, exhibiting a cautious demeanor typical of someone accustomed to maintaining order and security.  He appears diligent and focused on his duties, maintaining a professional distance. Note: This character’s role is ‘Security Guard’ at a low-level commercial establishment in downtown Los Santos.|17
72|Male|White|Young|A dark green plaid flannel shirt over dark blue denim jeans and brown suede boots. The overall style reflects a 1990s casual aesthetic.|Hippy|Calm, introspective, and appears to favor a relaxed, non-confrontational approach. This character likely spends his time in artistic or spiritual pursuits. Note: This character’s role is ‘Hippy’.|10
73|Male|White|Young|A dark brown, short-sleeved t-shirt, worn over camouflage-patterned cargo pants and brown sandals. The overall appearance suggests a relaxed, casual style popular in the early 90s.|Hippy|This individual presents a laid-back demeanor, possibly involved in music or alternative culture, reflecting the trends of the time. Note: This character’s role is ‘Hippy’.|10
75|Female|White|Old|A deep burgundy, low-cut halter dress with a thin black belt. Brown suede ankle boots complete the outfit.|Prostitute|Displays a detached, almost bored demeanor. Exhibits a casual attitude towards interaction, prioritizing client satisfaction. Note: This character operates within the seedier districts of Los Angeles, catering to a clientele seeking illicit encounters.|5
76|Female|White|Young|The character wears a fitted, black, double-breasted blazer over a cream-colored, short, A-line dress. She completes the look with black high heels and a delicate, pearl choker necklace.|Stewardess|Reserved, observant, and maintains a professional demeanor. She appears to be a newcomer to Los Angeles, possibly seeking employment in the hospitality industry. Note: This character’s role is ‘Stewardess’.|11
77|Female|White|Old|Worn, dark grey striped long-sleeved shirt, faded black leggings, dark green socks, and black combat boots. A ragged, brown patchwork skirt completes the outfit, adding to the overall distressed appearance.|Homeless|Displays signs of neglect and apathy, exhibiting minimal interaction with the environment and a generally withdrawn demeanor.  She appears to be a survivor, hardened by circumstance and lacking any apparent social connections. Note: This character’s role is ‘Homeless’.|15
78|Male|White|Old|Worn, brown plaid overcoat layered over a faded white t-shirt, ripped dark denim jeans, and scuffed black sneakers. A red necktie is loosely knotted around his neck, adding to the disheveled appearance.|Homeless|Displays signs of neglect, exhibiting a withdrawn and melancholic demeanor. He appears to be a man struggling with substance abuse and mental instability, exhibiting erratic behavior. Note: This individual is likely a former resident of the city, now living on the fringes of society due to personal hardship.|14
79|Male|Black|Old|Worn, olive green army surplus jacket with brown quilted lining, grey t-shirt, faded blue denim jeans, and dark brown work boots. The jacket appears to be several sizes too large, suggesting a past of working manual labor.|Homeless|Displays signs of neglect and possible substance abuse, exhibiting a withdrawn and unkempt demeanor. He appears to be struggling with mental instability and a lack of social connection. Note: This individual likely drifted into homelessness due to a combination of personal hardship and a lack of support systems within the city.|8
80|Male|Black|Young|Red boxing shorts with white stripes, black boxing gloves, and red athletic socks. The outfit reflects a 1990s boxing style, prioritizing functionality over modern trends.|Boxer|Muscular build, focused expression, and a generally stoic demeanor suggest a disciplined and serious individual accustomed to rigorous training. Note: This character is likely a local boxer attempting to make a name for himself in the Los Angeles underground fighting circuit.|14
